Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
2008,58005,0,1,0,14.9,1991,112.2,5,4.25
2012,70704,1,1,1,11.25,2694,163.7,7,10.95
2014,75000,0,1,1,24.4,1120,71,5,3.85
2012,75800,0,1,0,16.55,2498,105,6,5.5
2015,13648,0,0,1,17.11,1968,174.33,5,21.43
2014,52000,0,1,1,22.9,1248,74,5,4.25
2014,53000,0,1,1,17.8,1248,75,5,3.3
2013,65650,0,1,1,28.4,1248,74,5,3.85
2015,54000,1,1,0,18.9,1197,82,5,3.6
2015,39000,1,1,1,15.04,1598,103.2,5,3.99
2017,16542,1,1,1,25.17,799,53.3,5,3.3
2010,32000,1,1,1,20.36,1197,78.9,5,2.07
2010,121812,0,0,1,13.29,1995,147.6,5,7.75
2010,39300,1,1,1,18.2,998,67.1,5,2.25
2017,22000,0,1,1,13.68,2393,147.8,8,16.5
2010,72000,0,1,1,20,1399,68,5,2.75
2015,58000,1,0,1,11.74,1796,186,5,26.7
2011,65000,0,1,0,15.8,2148,170,5,10
2016,178000,0,1,1,25,1396,69,5,2.5
2012,65664,0,0,1,16.55,1968,140,5,13.5
2007,63000,1,0,0,16.4,1497,78,5,1.85
2019,15369,0,0,1,0,1950,194,5,35.67
2016,63000,0,1,1,24.52,1248,88.5,7,8.15
2018,13000,0,1,1,22.1,1396,88.7,5,10.5
2008,73000,1,0,1,8.5,4806,500,5,14.5
2015,55729,0,1,1,15.1,2179,140,7,9.65
2012,45178,1,0,1,16.95,1197,78.9,5,3.48
2015,56066,0,1,1,19.64,1461,108.5,5,6.92
2016,37300,1,0,0,16.5,1198,86.8,5,6.46
2014,56000,0,0,0,18.53,1968,187.74,5,29.5
2006,230000,1,1,0,12.4,1998,132,8,4.5
2012,104000,0,1,1,12.8,2494,102,7,11.75
2012,95100,0,1,1,22.9,1248,74,5,3.75
2017,70000,1,1,1,17.57,1193,88.7,5,4.5
2016,54944,1,1,1,18,1198,86.7,5,4.82
2012,70337,0,1,1,20,1399,68,5,2.8
2013,99638,0,1,1,23.2,1248,73.94,5,3.11
2009,52000,1,1,1,17.8,1497,117.3,5,3.25
2011,75000,0,0,0,16.73,1995,218,5,13.9
2009,95980,1,1,1,20.36,1197,78.9,5,2.25
2016,16000,1,1,1,18.9,1197,82,5,5.75
2016,18949,1,1,1,17.8,1198,86.7,5,5
2014,107000,0,1,1,13,2982,168.5,7,16.5
2018,48367,0,0,1,17.68,1968,174.33,5,39.58
2013,57000,0,1,1,22.7,1498,89.84,5,5.5
2014,58000,0,1,1,15.1,2179,140,7,8.1
2015,30000,0,1,1,25.8,1498,98.6,5,3.5
2013,34212,0,1,1,22.07,1199,73.9,5,2.79
2010,70002,0,1,1,16.2,1493,110,5,3.45
2016,62000,1,1,1,18.9,998,67.1,5,4.45
2010,62001,1,1,1,15.26,1598,103.5,5,2.65
2011,78958,0,1,0,23,1396,90,5,3.8
2014,30180,1,1,1,18.5,1197,82.85,5,4.65
2017,32851,1,1,1,19.83,1198,67,7,3.95
2010,30000,0,0,1,14.94,2967,241.4,5,9.8
2009,66000,1,1,0,17,1197,80,5,2.7
2010,93850,1,1,1,14,796,35,5,2.41
2014,53000,1,1,1,17.71,1197,78.9,5,3.9
2011,78000,0,0,0,14.74,2993,270.9,5,24
2012,65000,0,1,0,16,2179,140,7,5.75
2014,40000,0,0,1,22.32,1582,126.32,5,5.25
2017,30000,0,0,1,11.36,2755,171.5,7,19.25
2017,38053,1,1,1,15.1,1196,73,5,3.91
2014,25500,1,1,1,25.4,624,37.5,4,2.15
2015,56087,0,0,1,22.69,1995,190,5,20.75
2010,71088,1,1,1,13.5,1799,130,5,3.35
2014,55000,0,1,1,12.99,2494,100.6,7,11.11
2014,32700,0,0,1,23.3,1984,150,5,20
2016,39882,1,0,1,19.15,1198,75.94,5,6.55
2009,128000,1,0,1,10.8,2497,215,5,7
2016,55000,0,1,1,24.3,1248,88.5,5,7.5
2014,53753,0,0,0,15,2143,107.3,5,16.75
2018,10250,0,1,1,22,1582,126.2,5,10.95
2011,43874,1,1,1,18.9,998,67.1,5,2.45
2017,32684,1,0,1,21.9,624,37.48,4,3.23
2014,42000,0,1,1,12.05,2179,120,8,7.75
2009,28352,1,0,1,11.7,1796,178,5,9.35
2013,89900,1,1,1,26.6,998,58.16,5,3.25
2007,47700,1,1,0,10.8,2354,152,5,5.25
2015,55000,0,0,1,21.21,1498,103.2,5,7.25
2017,44285,1,1,1,20.73,1373,91.1,5,7.47
2016,54000,0,0,1,16,2179,140,7,13.25
2016,30232,1,1,1,21.1,1197,85.8,5,5.81
2014,88500,1,1,1,24.07,998,67.1,5,2.6
2017,13372,1,0,1,19,2996,362.07,2,54
2019,12645,1,0,1,17,1591,121.3,5,11.5
2010,94385,1,1,0,19.7,796,46.3,5,1.6
2015,31821,0,0,1,20.58,1995,143,5,17.22
2015,12000,1,0,1,19,1199,88.7,5,6
2012,88578,1,1,1,13.5,1799,130,5,3.95
2014,44965,0,0,1,19.27,2143,170,5,17.95
2014,45044,0,1,1,25.8,1498,98.6,5,3.7
2016,34204,1,1,1,22,1197,81.8,5,5.43
2012,91235,0,1,1,11.5,2982,171,7,13.49
2014,38800,1,1,1,18.6,1199,76.8,5,2.85
2013,83000,0,1,1,21.14,1498,103.52,5,4.75
2018,41283,1,1,1,20.73,1373,91.1,5,9.9
2013,23000,1,0,1,11.05,2894,444,4,37
2014,48000,0,0,1,21.76,1995,190,5,26.5
2015,48214,0,0,1,17.11,1968,174.33,5,23.32
2016,35000,0,1,1,22.9,1248,74,5,6.25
2010,35277,1,0,1,7.81,5461,362.9,5,30
2016,54620,0,0,1,21.66,1498,103.52,5,9.86
2012,136997,0,0,1,17.2,1968,138.1,5,8.5
2019,14322,1,1,1,21.1,814,55.2,5,4.23
2012,65634,0,1,1,22.07,1199,73.9,5,3.5
2016,6000,1,1,1,20.63,1198,67.06,5,2.5
2013,33280,1,1,1,19.4,1198,86.8,5,2.39
2013,29000,1,0,1,14.8,1595,120.7,5,11.25
2015,42831,0,1,1,26,1498,98.6,5,7.11
2016,90000,0,1,1,12.99,2494,100.6,7,10.9
2017,24005,1,1,1,20.4,1197,81.8,5,6.2
2012,32792,0,1,1,15.1,2179,140,7,7.9
2014,147898,0,1,1,22.7,1498,89.84,5,4.42
2012,131765,0,1,1,13,2982,168.5,7,13.5
2013,65000,0,0,1,21.5,1498,108.5,5,6.25
2010,66123,0,1,0,20,1399,68,5,2.1
2015,41000,0,0,1,15.3,2993,258,5,45
2017,23550,0,0,1,19.27,2143,167.62,5,33.66
2012,45000,1,1,0,19.4,1198,86.8,5,3.65
2013,60000,1,1,1,20.36,1197,78.9,5,2.75
2016,44414,0,0,1,17.9,2143,170,5,42.5
2019,1000,1,1,1,18.9,1197,81.86,5,6.5
2012,62500,0,0,0,17.68,1968,174.33,5,19
2013,21000,1,0,0,14.4,1598,103.6,5,4.45
2017,8525,0,0,0,16.6,1998,112,5,23
2014,29000,0,1,1,22.54,1396,88.73,5,8.35
2014,40000,0,0,1,17.68,1968,174.33,5,22.95
2012,88000,0,1,1,25.44,936,57.6,5,1.5
2012,53537,1,0,1,13.7,1798,157.75,5,6.89
2006,216000,0,1,0,17.8,1399,68,5,1.45
2014,51000,0,0,1,22.48,1995,190,5,33.5
2007,118500,1,1,1,12.9,1598,102.5,5,1.25
2012,63000,0,1,1,22.07,1199,73.9,5,4.2
2015,25000,0,1,1,19.98,1461,108.5,8,6.75
2014,37382,0,0,1,13,2143,201.1,5,32
2017,24773,1,1,1,21.4,1197,83.1,5,7.5
2012,62000,0,1,1,22.32,1582,126.32,5,4.6
2017,52340,1,1,1,19.81,1086,68.05,5,4.04
2016,56739,0,1,1,15.4,1997,120,7,10.31
2018,36091,0,0,1,12.7,2179,187.7,5,55.76
2010,120000,0,1,1,20,1399,68,5,2.6
2016,33000,0,1,1,25.47,1248,88.5,7,8.5
2014,52000,0,1,1,25.8,1498,98.6,5,3.5
2015,43571,1,1,1,20.36,1197,78.9,5,3.55
2013,50000,0,1,1,25.8,1498,98.6,5,3.25
2008,113000,0,1,1,17.5,1896,106,5,4.5
2014,90000,0,1,1,19.87,1461,83.8,5,5.35
2017,29000,0,1,0,17.45,1493,100,7,6.5
2016,20000,0,1,1,24.3,1248,88.5,5,9
2016,61012,1,1,1,18.6,1197,81.83,5,6
2009,87459,1,1,1,14.7,1390,85,5,2.75
2010,70500,1,1,1,15.64,1193,64.1,5,1.5
2015,64103,0,0,1,15.73,1968,174.33,5,19.9
2014,76000,1,0,1,14.7,1798,177.5,5,10
2014,104000,0,1,1,23.59,1364,67.06,5,3
2014,37245,1,0,1,14.8,1595,120.7,5,11.96
2013,45000,0,1,1,27.4,1498,98.6,5,3.25
2012,117837,0,1,0,22.32,1582,126.32,5,4.75
2014,30000,0,1,1,20.46,1461,83.8,5,5.95
2015,27057,1,1,0,15.29,1591,121.3,5,8.15
2016,8500,1,0,1,20.51,998,67,5,4.22
2010,30500,1,0,1,11.74,1796,186,5,10.5
2012,56000,0,0,1,11.8,2967,246.7,5,45
2012,44000,1,1,0,19.81,1086,68.05,5,2.9
2017,10500,1,0,1,14.3,1598,103.52,5,8.9
2017,26000,1,0,1,14.67,1798,177.46,5,26
2018,25166,1,1,1,17.19,1197,81.86,5,8.22
2014,64000,0,1,0,25.8,1498,98.6,5,3.5
2004,61000,1,1,0,18.9,998,67.1,5,1.25
2013,107000,0,1,1,21.03,1461,65,5,3.7
2018,29161,0,0,1,19.27,2143,167.62,5,39.41
2013,32000,1,1,1,22.5,998,67.04,5,2.65
2015,46173,0,1,0,19.01,1461,108.5,5,8.92
2017,26327,1,0,1,16.82,1998,189.08,4,35.67
2015,70436,0,1,1,0,1498,99,5,3.6
2007,200000,0,1,0,17.2,1396,53.5,5,0.85
2016,60813,1,1,0,18.6,1199,76.8,5,3.32
2012,45000,0,1,1,22.07,1199,73.9,5,3.6
2016,64000,0,1,1,22.9,1248,74,5,6.8
2012,41284,0,1,1,20,1399,68.05,5,2.5
2019,14165,0,0,1,11.36,2755,171.5,7,19.64
2011,67000,0,0,0,11.72,2199,194.3,7,7
2011,32572,1,1,1,17.4,1497,117.3,5,3.87
2018,14960,1,1,1,18.6,1197,81.83,5,6.27
2015,55980,0,0,1,19.27,2143,167.62,5,18.12
2013,74000,0,1,1,25.44,936,57.6,5,2.65
2015,56847,0,1,1,22.54,1396,88.73,5,7.2
2015,121374,0,1,1,12.99,2494,100.6,7,14.3
2013,52000,0,1,1,20.77,1248,88.76,7,6.9
2014,118000,0,1,1,12.8,2494,102,7,10.75
2016,33915,1,1,1,17.8,1497,117.3,5,8.09
2014,82002,0,0,1,17.05,1995,184,5,18.5
2017,33000,0,1,1,24,1120,70,5,4.75
2016,34000,0,1,1,28.09,1248,88.5,5,8.45
2012,55000,0,1,1,20.5,1598,103.6,5,3.5
2006,160538,0,1,1,13.1,1493,82,5,1.8
2014,60000,0,1,0,19.91,1498,103.6,5,3.7
2017,49575,1,1,1,18.7,1199,88.7,5,7.17
2010,83000,1,1,1,19.81,1086,68.05,5,1.75
2018,51346,0,0,1,16.38,1995,183,5,21.99
2017,43000,0,1,1,13.68,2393,147.8,7,18.65
2011,35000,1,1,0,19.7,796,35,5,1.85
2017,27872,1,1,0,20.4,1197,81.8,5,5.95
2014,16514,1,1,1,18.9,1197,82,5,3.75
2012,120000,0,1,1,22.9,1248,74,5,3.75
2008,143275,0,1,1,22,1582,126.2,5,2.6
2010,52000,1,1,1,17,1197,80,5,2.8
2017,29819,0,0,1,11.57,2987,254.79,5,61.29
2014,57000,0,1,0,15.8,2148,170,5,18
2014,88500,0,1,1,23.2,1248,73.94,5,4.35
2016,28000,0,1,1,19.67,1582,126.2,5,13.75
2010,67000,1,1,1,19,998,66.1,5,2
2016,26000,0,1,1,19.64,1461,108.45,5,10
2010,120000,0,1,1,17.8,1248,76,5,1.65
2017,51982,0,0,1,16.55,2993,258,5,45.77
2010,36000,1,1,0,20.36,1197,78.9,5,3.25
2016,47000,0,1,1,12.8,2494,102,7,12.8
2002,60000,1,1,0,17.3,993,60,5,0.55
2018,31025,0,1,1,28.4,1248,74,5,7.15
2013,105000,0,1,0,12.05,2179,120,8,7
2017,121900,0,1,1,22.95,1248,74,5,3.75
2017,22695,1,1,1,18.88,999,123.24,5,8.5
2012,73000,0,1,1,23.4,1248,74,5,4.35
2016,32227,1,1,1,22.74,796,47.3,5,3.26
2011,55000,1,1,1,17,1497,118,5,4.21
2018,11287,0,0,1,12.07,2967,241.4,7,70.36
2009,48000,0,0,0,17,1896,105,5,2.95
2012,54308,1,1,1,17.1,1591,121.3,5,4.28
2009,78442,1,0,1,16.8,1497,118,5,3.57
2013,46000,0,1,1,21.9,1396,88.8,5,3.11
2014,45051,1,0,1,15,1396,98.6,5,5.96
2011,69000,0,1,1,20.54,1598,103.6,5,4.7
2014,49000,1,1,1,17.4,1497,117.3,5,6.9
2018,45000,0,1,1,22.95,1248,74,5,5.25
2015,64000,0,0,1,18.48,1995,177,5,28
2009,60000,1,1,1,18.9,1061,67,5,1.35
2015,62178,1,1,1,18.2,1199,88.7,5,4.85
2012,58006,0,1,1,15,1896,105,5,6.7
2010,74000,1,1,1,20.36,1197,78.9,5,3.1
2015,77771,0,0,1,19.27,2143,170,5,18.64
2012,45275,1,1,1,20.36,1197,78.9,5,2.8
2016,48000,0,1,1,13.68,2393,147.8,7,20.25
2015,31652,0,0,1,17.68,1968,174.33,5,26.78
2010,109000,0,1,0,12.99,2494,100.6,7,8.26
2015,31978,1,1,1,16.47,1198,73.9,5,3.89
2011,70000,1,1,1,20.92,998,67.1,5,2.1
2017,15000,1,0,1,18,1497,117.3,5,12.69
2013,59138,0,1,1,17,1405,70,5,2.58
2014,61726,0,0,1,17.68,1968,174.33,5,20.77
2015,48000,0,0,1,17.9,2143,136,5,20.26
2014,77815,1,0,1,23.1,998,67.04,5,4.25
2017,29000,0,0,1,17.9,2143,201.15,5,57
2017,44000,0,0,1,12.7,2179,187.7,5,44
2011,108626,0,1,1,20.54,1598,103.6,5,3.65
2012,71791,1,1,1,14,796,35,5,2.05
2012,91931,1,1,1,18.5,1198,86.8,5,3.13
2000,158000,0,1,0,14.07,2956,83.1,7,1.5
2012,91183,0,1,1,18,1248,75,5,2.85
2012,65000,1,1,1,18.9,998,67.1,5,2.65
2015,88428,0,1,1,16,2179,140,7,10.6
2008,138000,0,1,0,17.1,1396,70,5,1.25
2018,18000,1,1,1,16.02,1373,93.7,7,8.25
2011,60000,1,0,1,11.7,2354,177.6,5,4.45
2012,48000,0,1,1,19.3,1248,73.9,5,3.7
2009,160000,0,1,1,17.8,1399,68,5,2.8
2008,40000,1,1,1,17.7,1497,78,5,1.8
2014,51495,0,0,1,17.68,1968,174.33,5,21.95
2011,30000,0,0,1,9.52,2993,313,4,49
2017,97430,0,0,1,14.75,2967,245,7,62.67
2008,42496,1,1,1,26.3,998,67.1,5,1.4
2012,83000,0,1,1,23,1396,90,5,5.5
2009,37000,1,0,0,16.95,1197,78.9,5,2.95
2016,28503,1,0,1,19,1199,88.7,5,6.86
2015,76496,0,1,1,25.2,1248,74,5,6.15
2011,79152,1,1,0,18.5,1197,82.85,5,3.3
2011,32000,1,1,1,16.47,1198,73.9,5,2.55
2009,35000,1,1,1,19.7,796,46.3,5,1.5
2004,105000,1,0,0,11.3,1794,125,5,2.5
2006,56000,1,1,0,19.7,796,46.3,5,1.4
2012,73000,0,1,1,21.12,1248,88.8,5,3.4
2012,38000,1,1,1,19.7,796,46.3,5,2.25
2013,775000,0,0,1,19.3,1968,141,5,7.5
2008,80000,1,0,1,11.3,1794,125,5,2.8
2016,24973,1,1,1,18.6,1197,81.83,5,7.66
2016,45000,0,1,1,24.3,1248,88.5,5,7.15
2010,87430,1,1,1,17,1497,118,5,3.5
2014,133944,0,1,0,18,1248,75,5,3.5
2013,57000,0,1,1,25.8,1498,98.6,5,3.45
2016,27904,1,1,1,21.1,814,55.2,5,3.55
2015,30717,0,0,0,21.76,1995,190,5,25.99
2012,80000,0,1,1,22.32,1582,126.32,5,5.25
2013,47304,0,1,1,21.02,1248,88.8,5,2.9
2005,100000,1,0,1,14.45,1984,227,5,2.05
2017,30000,1,1,1,24.07,998,67.1,5,3.75
2014,68000,0,1,1,22.7,1498,89.84,5,6.75
2011,21000,1,1,0,18,995,62,5,0.95
2017,21000,0,0,1,19.33,1999,177,5,52
2007,119000,1,1,0,13.1,1997,141.1,5,3.91
2019,13747,1,0,1,14.67,1798,177.46,5,27.3
2009,620000,1,1,1,20.36,1197,78.9,5,2.7
2013,70000,0,1,1,22.9,1248,74,5,3.5
2016,18000,1,0,1,18.5,1197,83.14,5,6.2
2011,83000,0,1,1,23.08,1461,63.1,5,2.75
2015,130000,0,1,1,23.4,1248,74,5,3.25
2012,63400,0,1,1,17.8,1399,67,5,3.25
2003,65000,1,1,1,17.3,993,60,5,0.65
2017,8350,1,1,1,13.8,1998,192,5,35
2014,45000,0,1,1,23.59,1364,67.05,5,3.25
2018,26200,1,1,1,24.7,796,47.3,5,2.9
2011,11000,1,1,0,18.9,796,47,5,2.9
2009,90000,0,0,0,11,2993,235,5,17.75
2015,74000,1,0,0,11.07,2496,179.5,5,8.25
2015,37081,1,0,1,18.9,1197,82,5,5.77
2017,39000,0,1,1,24.3,1248,88.5,5,9.49
2008,99000,0,0,0,12.07,2967,241.4,7,12.95
2015,38000,0,0,1,17.9,2143,136,5,20
2007,72000,1,1,0,16.1,796,37,4,1
2015,93000,0,1,0,20.45,1461,83.8,5,7.1
2017,5900,0,1,1,21.43,1364,87.2,5,16.5
2014,25000,0,1,1,15.8,2148,170,5,26
2010,68000,0,1,0,21.1,1248,73.9,5,3.2
2017,35676,1,0,1,16,1497,117.3,7,9.48
2015,74310,0,1,1,24.4,1120,71,5,4
2014,59364,0,0,1,14.21,2143,203,5,26.5
2014,41380,1,0,0,14.8,1595,120.7,5,11.77
2017,33900,0,0,1,15,2143,204,5,37
2016,28000,1,1,1,17.8,1497,117.3,5,8.75
2011,93982,1,1,1,17,1497,118,5,3.75
2010,95000,1,1,1,16.2,1599,103.2,5,2.5
2017,9000,1,0,1,13.5,1999,246.74,5,34.5
2015,52516,1,1,1,18,1198,86.7,5,4.65
2015,20000,1,0,1,18.86,1598,122,4,32
2017,56451,0,0,1,13.5,2987,282,5,62.81
2014,37000,1,1,1,21.1,814,55.2,5,3.25
2014,17400,1,1,1,20.51,998,67.04,5,3.1
2011,90207,0,1,1,21.1,1248,73.9,5,3.91
2011,89616,0,0,1,16.07,1995,181,5,11
2014,85000,0,1,1,13.49,2179,138.03,5,3.5
2014,79271,0,0,1,20.38,1968,143,5,16.5
2012,56000,0,0,1,12.7,2179,187.7,5,30
2010,85001,0,0,0,12,2987,224,7,28
2018,12000,0,0,1,13.5,2477,175.56,7,28
2010,125000,1,1,1,19.7,796,46.3,5,0.92
2013,53000,1,1,1,14,1061,64,5,2.75
2017,34990,0,0,1,12.7,2179,187.7,5,53.83
2011,49768,1,1,0,17.01,1591,121.3,5,4.95
2013,56000,0,0,1,16.73,2993,218,5,33.5
2013,75000,0,0,1,14.74,2993,270.9,5,27.95
2010,57000,1,0,1,13.7,1798,157.75,5,7.25
2017,37542,0,0,1,15.73,1968,174.33,5,25.71
2014,95649,0,0,1,12.7,2179,187.7,5,29.67
2013,35299,0,0,1,14.84,2143,170,5,19
2017,28464,0,1,1,15.4,2179,120,7,13.05
2015,41000,0,0,1,21.76,1995,190,5,25.5
2017,9000,1,1,1,15.4,1497,117.3,7,8.5
2010,92098,0,0,0,16,2400,215,5,7.25
2005,5834,1,1,1,13.2,1495,94,5,0.8
2017,40250,1,1,1,17.19,1197,81.86,5,6.9
2018,22397,1,0,1,11.5,2996,367,5,70.99
2015,20800,1,1,0,21.1,814,55.2,5,2.25
2018,40322,1,1,1,18.9,1197,81.86,5,5.5
2013,52576,1,1,1,13,1493,100,5,4.35
2010,55000,1,1,1,16.47,1198,73.9,5,2.25
2016,47000,1,0,1,15.26,1798,187.74,5,24.5
2017,23163,1,1,1,15.29,1591,121.3,5,12.03
2011,50000,1,0,0,11.74,1796,186,5,8.5
2014,11900,1,0,1,16.82,1998,189.08,4,28.5
2013,37000,0,1,1,23.59,1364,67.04,5,5.75
2014,30000,1,1,0,19.4,1198,86.8,5,3.2
2018,12831,1,0,1,21.4,1197,83.1,5,9.89
2012,143017,0,0,1,20,1968,138.1,5,6.58
2018,13102,1,1,1,21.1,814,55.2,5,4.06
2019,24950,0,1,1,20.37,1461,108.45,5,13.37
2011,57832,0,0,1,16.2,2993,258,5,25.82
2016,34267,1,1,1,22.74,796,47.3,5,3.74
2015,33000,0,0,0,16.8,1984,150,5,22
2007,55100,1,1,1,18.9,998,67.1,5,1.45
2008,40000,1,1,1,17.7,1497,78,5,2
2017,31841,1,1,1,15.1,1196,73,5,4.7
2014,15000,1,1,1,13.7,1399,98.79,8,3.75
2016,82756,0,1,1,15.96,2523,62.1,7,7.7
2014,20600,1,1,1,21.1,814,55.2,5,2.6
2017,29952,1,0,1,13,1591,121.3,5,13.77
2017,15000,1,1,0,16.09,1598,103.5,5,7.1
2008,61938,1,0,0,12.9,1799,130,5,2.65
2014,67000,0,1,1,22.3,1248,74,5,2.5
2013,61672,0,1,1,16,2179,140,7,7.53
2017,26185,1,1,1,18.6,1197,81.83,5,7.98
2014,38000,0,0,0,14.16,1968,174.3,5,39
2011,67000,1,1,0,18.5,1197,85.8,5,2.25
2010,66000,1,1,0,13.17,1999,114,5,3.85
2015,80883,0,1,1,12.8,2494,102,7,13.5
2016,80219,0,1,1,27.62,793,47,5,3.5
2018,12923,0,1,1,25.1,1248,88.5,5,8.92
2016,86642,0,0,1,15.17,1968,181,5,20.37
2016,19235,0,0,1,21.76,1995,190,5,36.5
2016,51002,0,0,1,11.33,4134,335.2,7,48.91
2016,6800,1,1,1,18.6,1197,81.83,5,7.2
2012,82749,0,1,1,19.01,1461,108.45,5,5.99
2016,51000,0,1,1,24.4,1120,71,5,5.25
2014,31465,0,1,1,22.7,1498,89.84,5,6.5
2013,76476,1,1,1,16.47,1198,73.9,5,4.4
2017,14000,0,1,1,24,1120,70,5,4.6
2013,47000,0,1,1,21.12,1248,88.8,5,2.95
2011,48466,1,1,1,17,1497,118,5,3.26
2008,46000,1,1,0,17.92,1086,62.1,5,2.22
2012,162663,0,1,1,12.99,2494,100,7,10.5
2017,25142,0,1,1,28.09,1248,88.5,5,8.26
2013,69000,0,1,1,12.55,2982,169,7,14.45
2018,26405,1,0,1,12.6,1950,191.34,5,51.43
2014,45000,0,1,1,15.8,2148,170,5,23
2012,64284,0,1,1,17.72,1968,108.49,5,5.5
2015,27000,1,1,1,18.9,1197,82,5,4.5
2018,3678,1,1,1,18.16,1196,86.8,5,6.8
2013,21000,1,1,1,16.8,1395,138.02,5,8.75
2015,67000,0,1,0,19.87,1461,83.8,5,7
2015,24000,0,0,0,15.68,1999,177,5,33.5
2011,75000,0,1,0,20,1399,68,5,2.25
2008,179000,0,0,0,12.8,2953,156,7,4.24
2017,47198,0,1,1,12.55,2982,168.5,7,28.42
2012,52000,0,1,1,22.07,1199,73.9,5,2.75
2011,91000,0,1,1,23.2,1248,73.94,5,3
2013,60000,0,1,1,23.08,1461,63.1,5,3.55
2013,37873,0,1,1,22.32,1582,126.32,5,4.8
2011,31000,1,0,1,10.8,2497,150,5,13.5
2017,129000,0,0,1,11,2987,258,7,56
2004,78000,1,0,1,12,2354,187.4,5,3.99
2016,32000,0,0,1,17.01,1582,126.2,5,15.5
2010,59000,1,1,0,19.81,1086,68.05,5,2.32
2016,35437,0,0,1,20,2143,136,5,18.58
2014,98000,1,1,1,16.02,1373,93.7,7,5.5
2006,72000,0,1,0,18.7,1896,66,5,3.2
2015,79000,1,1,1,18,1198,86.7,5,4
2004,29000,1,1,1,17.3,993,60,5,1.6
2013,66012,1,1,1,15.5,1586,103.3,5,4.15
2014,35000,1,0,1,16.5,1198,86.8,5,4.25
2011,75000,1,1,1,18.9,998,67.1,5,2.6
2008,80000,1,0,0,12.1,2362,164.7,5,3.43
2012,32717,1,1,1,18.6,1199,79.4,5,2.55
2017,25000,0,0,1,12.55,2982,168.5,7,32
2014,79000,0,1,1,22.7,1498,89.84,5,6.25
2010,86000,0,1,0,17.8,1248,75,5,3.6
2010,137000,0,0,1,13.5,2987,282,5,18.5
2015,25000,1,1,0,17.3,1497,117.3,7,4.25
2017,8500,1,1,0,18.9,1197,82,5,4.8
2015,34000,0,0,1,16,2179,140,7,13
2012,41629,1,1,0,14.83,1598,105,5,2.25
2009,80227,1,1,1,17.92,1086,62.1,5,2.3
2019,8587,1,1,1,15.29,1591,121.3,5,13.56
2017,30000,0,1,1,15.4,1997,120,7,12.25
2013,64186,0,1,1,20.5,1598,103.5,5,3.76
2015,76427,0,1,1,19.01,1461,108.45,5,8.58
2011,75000,0,0,1,11.7,2993,245,5,27.5
2013,27075,1,1,1,17.6,1496,88.73,5,4.95
2012,30000,1,1,1,22.5,998,67.04,5,3.3
